medcodeid	snomedct_conceptid	snomedct_descriptionid	term	category
715531000006116	384636006	1478963018	Maternal P/N 6 week exam. NOS	6wk_maternal_check
263370018	169783009	263370018	Postnatal examination minor problem found	postnatal
263371019	169784003	263371019	Postnatal examination normal	postnatal
263338018	169756008	263338018	P/N care from G.P.	postnatal
2579087017	133906008	2579087017	Postnatal care	postnatal
211661000006118	133906008	2579087017	Postnatal care	postnatal
211811000006115	169762003	263344019	Postnatal visits	postnatal
263344019	169762003	263344019	Postnatal visit	postnatal
1158511000000114	169762003	1158511000000114	New birth visit	postnatal
263358017	169762003	263344019	Postnatal visit NOS	postnatal
1488306012	394575008	1488306012	Postnatal clinic	postnatal
154241000006114	185266004	285267011	Seen in postnatal clinic	postnatal
285267011	185266004	285267011	Seen in postnatal clinic	postnatal
1227624013	384634009	1478961016	[V]Postnatal care and examination	postnatal
218761000000114	384636006	1478963018	Maternal P/N 6 week exam.	6wk_maternal_check
460469017	384634009	1478961016	Postnatal exam. - maternal	postnatal
218771000000119	384634009	1478961016	Postnatal exam. - maternal	postnatal
263369019	444136005	2841823010	Maternal P/N exam. done	postnatal
460474013	133906008	213645012	Postnatal care NOS	postnatal
216501000006110	133906008	213645012	Postnatal care NOS	postnatal
216641000006113	133906008	213645012	Postnatal care NOS	postnatal
460473019	133906008	213645012	Postnatal care NOS	postnatal
2581000000117	6591000000100	2571000000119	Complete post-natal care	postnatal
795531000006117	384635005	1478962011	Full post-natal examination	postnatal
917211000006110	917211000006106	917211000006110	Postnatal visits	postnatal
3562861000006112	65375007	108612015	"Postpartum state, 6 weeks"	postnatal
12459921000006112	411391000000108	892481000000116	[V]Postnatal care and examination	postnatal
5931551000006113	304598004	1227248014	Postnatal examination observations	postnatal
7986311000006116	6611000000108	2611000000111	Partial postnatal care - two visits	postnatal
909051000006114	909051000006105	909051000006114	[RFC] Postnatal care	postnatal
5192261000006111	243831005	364665010	Postnatal examination status	postnatal
7986381000006111	6621000000102	2631000000115	Partial postnatal care - three visits	postnatal
7986401000006111	6631000000100	2651000000110	Partial postnatal care - four visits	postnatal
916151000006117	916151000006101	916151000006117	Postnatal care	postnatal
921001000006117	921001000006101	921001000006117	Postnatal examination normal	postnatal
2601000000114	6601000000106	2591000000115	Partial postnatal care - one visit	postnatal
7999381000006115	14201000000104	34161000000118	Partial postnatal care	postnatal
920931000006117	920931000006101	920931000006117	Maternal P/N 6 week exam.	6wk_maternal_check
7986441000006113	6641000000109	2671000000118	Partial postnatal care - five visits	postnatal
920991000006118	920991000006102	920991000006118	Postnatal examination minor problem found	postnatal
5192291000006115	243833008	364667019	Postnatal care status	postnatal
5999221000006110	310370000	453945011	Postnatal visit status	postnatal
5931541000006111	304598004	446951015	Postnatal examination finding	postnatal
218761000000114	384636006	1478963018	Maternal postnatal 6 week examination	6wk_maternal_check
921161000006117	921161000006101	921161000006117	Breast fed at 6 weeks	6wk
2012381000006118	2012381000006102	2012381000006118	On cow's milk at 6 weeks	6wk
434901000006119	170121005	263812012	6 week examination abnormal - on treatment	6wk
434911000006116	170119000	263810016	6 week examination abnormal - for observation	6wk
8278771000006113	837021000000103	2173141000000114	Parenteral nutrition at 6 weeks	6wk
1873981000006116	1873981000006100	1873981000006116	No breast milk feeding at all (6-8 week)	6wk
921131000006114	921131000006105	921131000006114	Infant feeding at 6 weeks	6wk
1873951000006112	1873951000006108	1873951000006112	Breast feeding status (6-8 week)	6wk
921171000006112	921171000006108	921171000006112	Breast fed + supp. at 6 weeks	6wk
6262161000006118	364771008	487947012	Infant feeding at 6 weeks - finding	6wk
1873961000006114	1873961000006105	1873961000006114	Exclusively breast milk feeding (6-8 week)	6wk
