medcodeid	snomedct_conceptid	snomedct_descriptionid	term	category	checklist
921161000006117	921161000006101	921161000006117	Breast fed at 6 weeks	6wk	
2012381000006118	2012381000006102	2012381000006118	On cow's milk at 6 weeks	6wk	
434901000006119	170121005	263812012	6 week examination abnormal - on treatment	6wk	
434911000006116	170119000	263810016	6 week examination abnormal - for observation	6wk	
8278771000006113	837021000000103	2173141000000114	Parenteral nutrition at 6 weeks	6wk	
1873981000006116	1873981000006100	1873981000006116	No breast milk feeding at all (6-8 week)	6wk	
921131000006114	921131000006105	921131000006114	Infant feeding at 6 weeks	6wk	
1873951000006112	1873951000006108	1873951000006112	Breast feeding status (6-8 week)	6wk	
921171000006112	921171000006108	921171000006112	Breast fed + supp. at 6 weeks	6wk	
6262161000006118	364771008	487947012	Infant feeding at 6 weeks - finding	6wk	
1873961000006114	1873961000006105	1873961000006114	Exclusively breast milk feeding (6-8 week)	6wk	
1873971000006119	1873971000006103	1873971000006119	Partially breast milk feeding (6-8 week)	6wk	
921151000006119	921151000006103	921151000006119	Bottle fed at 6 weeks	6wk	
921181000006110	921181000006106	921181000006110	On solids at 6 weeks	6wk	
2012291000006114	2012291000006105	2012291000006114	Started infant weaning at 6 weeks	6wk	
1990791000006113	1990791000006109	1990791000006113	Formula fed at 6 weeks	6wk	
1913751000006113	1913751000006109	1913751000006113	Infant sleeping position at 6-8 weeks - prone	6wk	
434921000006112	170120006	263811017	6 week examination abnormal - referred	6wk	
763561000006111	183628009	283760010	Follow-up 6 weeks	6wk	
263637016	364771008	2771250018	Finding of infant feeding at 6 weeks	6wk	
4629011000006110	169971002	263631015	Infant feeding method at 6 weeks	6wk	
263632010	169971002	263632010	Infant feeding at 6 weeks	6wk	
263633017	169972009	263633017	Bottle fed at 6 weeks	6wk	
263634011	169973004	263634011	Breast fed at 6 weeks	6wk	
525121000006117	169974005	263635012	Breast and supplement fed at 6 weeks	6wk	
263636013	169975006	263636013	On solids at 6 weeks	6wk	
2130061000000118	817681000000100	2130061000000118	Not smiling by 8 weeks old	6wk	
435111000006117	170306005	264059012	8 week exam.abnormal -for obs.	6wk	
435121000006113	170307001	264060019	8 week exam.abnormal -referred	6wk	
435101000006115	170308006	264061015	8 week exam.abn.-on treatment	6wk	
1913761000006110	1913761000006106	1913761000006110	Infant sleeping position at 6-8 weeks - supine	6wk	
1913771000006115	1913771000006104	1913771000006115	Infant sleeping position at 6-8 weeks - side	6wk	
8368251000006111	988451000000100	2514681000000112	NIPE (Newborn and Infant Physical Examination) Screening Programme, eye examination status	6wk_baby_check	eyes
8368231000006116	988431000000107	2514671000000110	NIPE (Newborn and Infant Physical Examination) Screening Programme, heart examination status	6wk_baby_check	heart
8365361000006112	985391000000106	2514641000000116	NIPE (Newborn and Infant Physical Examination) Screening Programme, hip examination status	6wk_baby_check	hips
8368271000006118	988471000000109	2514691000000114	NIPE (Newborn and Infant Physical Examination) Screening Programme, testis examination status	6wk_baby_check	testes
921901000006116	921901000006100	921901000006116	Child 6 week exam.	6wk_baby_check	hips
921941000006119	921941000006103	921941000006119	Child 6 week exam. normal	6wk_baby_check	hips
921951000006117	921951000006101	921951000006117	Child 6 week exam. abnormal - for obs.	6wk_baby_check	
1873751000006114	1873751000006105	1873751000006114	6-8 week physical examination result (hips)	6wk_baby_check	heart
1873761000006111	1873761000006107	1873761000006111	6-8 week physical examination result (hips) - satisfactory	6wk_baby_check	eyes
1873771000006116	1873771000006100	1873771000006116	6-8 week physical examination result (hips) - problem identified	6wk_baby_check	eyes
1873791000006115	1873791000006104	1873791000006115	6-8 week physical examination result (hips) - not examined	6wk_baby_check	testes
1873801000006119	1873801000006103	1873801000006119	6-8 week physical examination result (heart)	6wk_baby_check	testes
1873871000006113	1873871000006109	1873871000006113	6-8 week physical examination result (eyes) - problem identified	6wk_baby_check	
1873881000006111	1873881000006107	1873881000006111	6-8 week physical examination result (eyes) - problem suspected	6wk_baby_check	
1873901000006113	1873901000006109	1873901000006113	6-8 week physical examination result (testes)	6wk_baby_check	
1873921000006115	1873921000006104	1873921000006115	6-8 week physical examination (testes) - problem identified	6wk_baby_check	
1873941000006110	1873941000006106	1873941000006110	6-8 week physical examination result (testes) - not examined	6wk_baby_check	
1888801000006119	1888801000006103	1888801000006119	Referred to Childsmile at child 6-8 week exam.	6wk_baby_check	
1913961000006113	1913961000006109	1913961000006113	Child 6-8 week exam.: gross motor development	6wk_baby_check	
1913971000006118	1913971000006102	1913971000006118	Child 6-8 week exam.:gross motor devel. normal	6wk_baby_check	eyes
1913981000006115	1913981000006104	1913981000006115	Child 6-8 week exam.:gross motor devel. abnormal	6wk_baby_check	eyes
1914031000006118	1914031000006102	1914031000006118	Child 6-8 week exam.:hearing and communication normal	6wk_baby_check	
1914071000006115	1914071000006104	1914071000006115	Child 6-8 week exam.:hearing and communication uncertain	6wk_baby_check	
1914111000006111	1914111000006107	1914111000006111	Child 6-8 week exam.:vision and social awareness normal	6wk_baby_check	
1914131000006117	1914131000006101	1914131000006117	Child 6-8 week exam.:vision and social awareness uncertain	6wk_baby_check	
